,identifier,T-statistics,pvalue,mean_group1,mean_group2,std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
1415,sp|Q46835|YGHG_ECOLI,-8.14571055157192,0.00018404853283986064,26.722986779388908,27.67682135213074,0.19442662946221292,0.057732912810190176,-0.9538345727418331,t-Test,FDR correction BH,0.12169160607331314,True,0,1,0.5162584613502038,3.735067640222706,Unpaired t-test
109,sp|P08200|IDH_ECOLI,-7.568249333118336,0.00027645152922706564,28.754553356374824,29.45507675994491,0.06934018558895323,0.14454915339059843,-0.7005234035700845,t-Test,FDR correction BH,0.12169160607331314,True,0,1,0.6153489202234917,3.558381003363012,Unpaired t-test
1308,sp|P75726|CILA_ECOLI,7.460335615153255,0.00029914921190854585,28.081817187707614,26.85219191080602,0.2216872857577019,0.17987033128790397,1.2296252769015936,t-Test,FDR correction BH,0.12169160607331314,True,0,1,2.3450607173650315,3.52411213694435,Unpaired t-test
36,sp|P02943|LAMB_ECOLI,-7.006237821504008,0.00042144145509695897,26.117247592703496,27.919537517339336,0.4278614606373089,0.12431006598192669,-1.80228992463584,t-Test,FDR correction BH,0.12169160607331314,True,0,1,0.286719131062708,3.3752627472415426,Unpaired t-test
957,sp|P25539|RIBD_ECOLI,-6.994788636504356,0.0004251977850220585,26.87680688259146,27.187936792841583,0.06357900370963111,0.04351076643562679,-0.3111299102501235,t-Test,FDR correction BH,0.12169160607331314,True,0,1,0.8060102494817681,3.371409006508108,Unpaired t-test
1244,sp|P62768|YAEH_ECOLI,-6.152383501538184,0.0008452621758203262,28.99936814715449,29.677382493924316,0.1465251269911082,0.12233085336715344,-0.6780143467698245,t-Test,FDR correction BH,0.1700672086125103,False,0,1,0.6250249357493192,3.073008564598284,Unpaired t-test
959,sp|P25665|METE_ECOLI,-6.0149897098195515,0.0009519856849095794,26.67616041904055,27.714068209463335,0.060995591698167755,0.2925811242027615,-1.0379077904227856,t-Test,FDR correction BH,0.1700672086125103,False,0,1,0.48703326191450347,3.0213695820898114,Unpaired t-test
1280,sp|P68066|GRCA_ECOLI,-5.8965827190393,0.001056457497351201,31.538684531288407,32.216395968751456,0.10528986186346169,0.16894605497634507,-0.6777114374630493,t-Test,FDR correction BH,0.1700672086125103,False,0,1,0.6251561802199307,2.9761479704878084,Unpaired t-test
509,sp|P0ABK9|NRFA_ECOLI,5.843766539029311,0.001107241752643147,26.481789218901987,25.636906614434714,0.16642515551915885,0.1871134329737428,0.8448826044672728,t-Test,FDR correction BH,0.1700672086125103,False,0,1,1.796118585372659,2.95575754589975,Unpaired t-test
508,sp|P0ABK5|CYSK_ECOLI,-5.764809970940862,0.0011884500951258581,29.62247088731209,30.524137954379277,0.25181138022860444,0.09991084157882621,-0.9016670670671871,t-Test,FDR correction BH,0.1700672086125103,False,0,1,0.5352678595409618,2.9250190502559557,Unpaired t-test
949,sp|P25437|FRMA_ECOLI,-5.303488754608509,0.0018237239811038858,29.08765531782339,29.7443931128887,0.1828481120436423,0.11211210825397801,-0.656737795065311,t-Test,FDR correction BH,0.21869004823073898,False,0,1,0.6343109730571475,2.739040891092249,Unpaired t-test
1083,sp|P36943|EAEH_ECOLI,5.297685270838912,0.001833878811159237,28.845291120148985,28.37480484943231,0.07651346741200075,0.13344370015186835,0.4704862707166768,t-Test,FDR correction BH,0.21869004823073898,False,0,1,1.3855764078853283,2.7366293673485553,Unpaired t-test
486,sp|P0AB80|ILVE_ECOLI,-5.149408326627178,0.0021164787763827244,28.177132293727645,28.85255303192509,0.20495045889225083,0.09801972430445473,-0.6754207381974453,t-Test,FDR correction BH,0.23297547146182143,False,0,1,0.6261495864899373,2.6743860821845766,Unpaired t-test
829,sp|P11349|NARH_ECOLI,4.853159797906189,0.002842515100013173,27.35979086980628,26.919208657866946,0.1418978888372646,0.06774512651544402,0.4405822119393328,t-Test,FDR correction BH,0.2905456505799179,False,0,1,1.357151907225117,2.5462972195742717,Unpaired t-test
73,sp|P06721|METC_ECOLI,-4.718814270909587,0.003262005890674752,25.528985678096557,26.24443714186794,0.19823993579102178,0.17223205053434984,-0.7154514637713838,t-Test,FDR correction BH,0.31119536197037134,False,0,1,0.6090145225891108,2.4865152590268194,Unpaired t-test
533,sp|P0AC33|FUMA_ECOLI,-4.615324650167646,0.0036331141171776155,26.751532772670416,27.40346787051603,0.20074493562855936,0.13985678778348573,-0.651935097845616,t-Test,FDR correction BH,0.31596812564961935,False,0,1,0.6364260977327552,2.4397209606062735,Unpaired t-test
302,sp|P0A898|YBEY_ECOLI,-4.584261597637815,0.0037536395080667567,27.013764517184953,27.611473865818994,0.21223978507522667,0.07715814996415696,-0.5977093486340408,t-Test,FDR correction BH,0.31596812564961935,False,0,1,0.6608023174133827,2.4255474384741222,Unpaired t-test
