,identifier,T-Statistics,pvalue,mean(group1),mean(group2),std(group1),std(group2),log2FC,test,correction,padj,rejected,group1,group2,FC,-log10 pvalue,Method
1321,P75726,13.440119778246682,1.0510374304827165e-05,28.134687595467827,26.793368862049935,0.1307946828827718,0.11301609771346063,1.3413187334178929,t-Test,FDR correction BH,0.01519800124478008,True,control,10 µm sulforaphane,2.533828242183667,4.978381817213778,Unpaired t-test
1375,P76440,10.610331859164578,4.127591061267716e-05,27.234670506648545,26.579756493709446,0.08232955045082896,0.06820166855513835,0.6549140129390985,t-Test,FDR correction BH,0.029842483372965585,True,control,10 µm sulforaphane,1.5745221061650903,4.384303336727836,Unpaired t-test
827,P0CK95,-9.340565867604026,8.534520182049916e-05,26.461305335890373,27.223492359849264,0.12633708954319048,0.06335972419558805,-0.7621870239588908,t-Test,FDR correction BH,0.03245925166952038,True,control,10 µm sulforaphane,0.589601858062784,4.0688208902663705,Unpaired t-test
513,P0ABK5,-8.911299329223244,0.00011131271780819303,29.68255568242177,30.4652921427707,0.0644964595310752,0.1377893561667876,-0.7827364603489286,t-Test,FDR correction BH,0.03245925166952038,True,control,10 µm sulforaphane,0.5812632244413515,3.9534552133977003,Unpaired t-test
35,P02943,-8.790920546607587,0.00012016405440244011,26.17011800046371,27.860714468583247,0.2815325039017945,0.178019003836361,-1.6905964681195371,t-Test,FDR correction BH,0.03245925166952038,True,control,10 µm sulforaphane,0.3097988152210241,3.920225426753842,Unpaired t-test
1431,Q46835,-8.614071013984155,0.00013468569157477336,26.77585718714912,27.617998303374655,0.12425873390328679,0.11503404253887294,-0.8421411162255339,t-Test,FDR correction BH,0.03245925166952038,True,control,10 µm sulforaphane,0.5578150961930132,3.870678539393473,Unpaired t-test
832,P10384,-6.345194297040519,0.0007177785278183637,26.48238321296823,27.415930886832367,0.2129463689317113,0.1399738047437077,-0.9335476738641368,t-Test,FDR correction BH,0.14700588643649917,True,control,10 µm sulforaphane,0.5235692691890219,3.1440095376292474,Unpaired t-test
129,P09152,6.197418092678832,0.0008133105750290411,26.87522798276482,26.19110776955828,0.07372677806739053,0.17641103630080243,0.6841202132065405,t-Test,FDR correction BH,0.14700588643649917,True,control,10 µm sulforaphane,1.606721868751377,3.0897435807714118,Unpaired t-test
1237,P60785,-5.771262821983973,0.0011815638106595643,28.240067136281922,28.460088859734693,0.05579417098651517,0.03531647336566259,-0.2200217234527706,t-Test,FDR correction BH,0.16428348215934935,False,control,10 µm sulforaphane,0.8585525086430628,2.9275428192123076,Unpaired t-test
1113,P37349,5.711348226565785,0.0012472989385369348,25.987642758974967,25.192531352528658,0.23533620418796333,0.052537666569864826,0.7951114064463098,t-Test,FDR correction BH,0.16428348215934935,False,control,10 µm sulforaphane,1.7352113639987192,2.904029447244795,Unpaired t-test
991,P27249,-5.709196650232728,0.001249736033024096,24.920815046196612,25.351214606463085,0.06745677327156682,0.11179987015196487,-0.43039956026647275,t-Test,FDR correction BH,0.16428348215934935,False,control,10 µm sulforaphane,0.7420562413548981,2.903181708197664,Unpaired t-test
487,P0AB67,-5.518688408052183,0.0014887375072915087,27.87819795008761,28.381497143198256,0.08860203891287431,0.13077264287029267,-0.5032991931106459,t-Test,FDR correction BH,0.1793928696286268,False,control,10 µm sulforaphane,0.7054915982551343,2.8271818698665974,Unpaired t-test
514,P0ABK9,5.370019358860437,0.00171176624727982,26.41579644199585,25.57808356567863,0.14747214811604484,0.22640273295458818,0.837712876317223,t-Test,FDR correction BH,0.19040107642820153,False,control,10 µm sulforaphane,1.7872145997058082,2.7665555413221976,Unpaired t-test
1329,P75825,4.99033664795808,0.002476065826354366,26.955993155279938,25.319631352749894,0.2195252363859628,0.5238090222893614,1.6363618025300433,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,3.108808611881142,2.606237813754321,Unpaired t-test
959,P25437,-4.910059818212454,0.002683528570909781,29.140512950203487,29.685570064132616,0.18128768683407762,0.06405673040288788,-0.5450571139291291,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,0.6853642695060698,2.5712937765191457,Unpaired t-test
1394,P77252,4.850665765535392,0.002849723952415986,26.592567042606976,25.953311077099077,0.11901617561808332,0.1947788440678232,0.6392559655078998,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,1.5575256965765956,2.545197207271791,Unpaired t-test
27,P00968,-4.802463736864856,0.0029931959665611078,26.451772553743233,26.880338868484145,0.08284761135253381,0.1304874990507615,-0.42856631474091245,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,0.7429997782284631,2.5238648486759954,Unpaired t-test
110,P08200,-4.788591099230531,0.003035989596146779,28.811844366405907,29.396253682432274,0.1820885393485803,0.10736165763660471,-0.5844093160263668,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,0.6669223412889511,2.5176997210320864,Unpaired t-test
562,P0ACD8,4.7674977325842125,0.0031023901995896985,30.243383606426878,29.895164428546835,0.08956271952387011,0.08934847051986178,0.3482191778800434,t-Test,FDR correction BH,0.23610822255824757,False,control,10 µm sulforaphane,1.2729883161912505,2.5083035801938243,Unpaired t-test
399,P0A9I1,4.499453459967092,0.004106322998950408,28.152292467161423,26.938312489586792,0.3570769312461945,0.30146650797977687,1.2139799775746312,t-Test,FDR correction BH,0.27987884524630646,False,control,10 µm sulforaphane,2.31976711392812,2.3865468924849904,Unpaired t-test
629,P0ADR8,-4.461834220373104,0.0042746107584649695,27.88883086684416,28.300632250995967,0.09089376114618845,0.13150276730401075,-0.4118013841518078,t-Test,FDR correction BH,0.27987884524630646,False,control,10 µm sulforaphane,0.7516842162872339,2.3691034255316232,Unpaired t-test
764,P0AFU8,-4.450608868014093,0.004326321606451305,28.795081001354234,29.369720342026685,0.1043831505361099,0.19777772735097077,-0.5746393406724515,t-Test,FDR correction BH,0.27987884524630646,False,control,10 µm sulforaphane,0.6714540872152183,2.3638811994795415,Unpaired t-test
1339,P75882,-4.423999525298435,0.004451738202396299,26.386776706469114,26.661696345473658,0.02287646271944992,0.10517529936451582,-0.2749196390045441,t-Test,FDR correction BH,0.27987884524630646,False,control,10 µm sulforaphane,0.82649635436985,2.3514703835551525,Unpaired t-test
237,P0A7E3,4.35073595102855,0.004818721733759296,27.38778024449849,26.5720917391101,0.07212046202183316,0.3166198503291386,0.8156885053883904,t-Test,FDR correction BH,0.288422912283568,False,control,10 µm sulforaphane,1.7601379518742744,2.3170681521345897,Unpaired t-test
204,P0A715,-4.3192924441865035,0.00498656487350567,29.831766106128114,30.040035929139574,0.0696424525430624,0.04609773735967281,-0.20826982301145947,t-Test,FDR correction BH,0.288422912283568,False,control,10 µm sulforaphane,0.8655746644957917,2.302198526564081,Unpaired t-test
61,P05793,-4.105163409178354,0.0063205925148615005,28.29246372857277,28.6562569959297,0.1108520899985249,0.1061673656817125,-0.36379326735692885,t-Test,FDR correction BH,0.3454767633837318,False,control,10 µm sulforaphane,0.77711861891099,2.1992422074971887,Unpaired t-test
891,P19931,4.084264159329774,0.006470924146658642,27.319221225913154,26.714489971346694,0.10871682567629698,0.23226973050387323,0.6047312545664596,t-Test,FDR correction BH,0.3454767633837318,False,control,10 µm sulforaphane,1.5206954514941713,2.189033691026296,Unpaired t-test
22,P00959,-4.03068947318393,0.006874904354191634,28.435809505951795,28.67578347245142,0.05136841310126937,0.08941556655370864,-0.2399739664996261,t-Test,FDR correction BH,0.3454767633837318,False,control,10 µm sulforaphane,0.8467605920596721,2.162733339495625,Unpaired t-test
935,P23871,-4.0238282747262435,0.006928648781554788,24.998332323803897,25.390494733384507,0.14786090576297653,0.08144030169728557,-0.3921624095806102,t-Test,FDR correction BH,0.3454767633837318,False,control,10 µm sulforaphane,0.7619866306543839,2.159351452824279,Unpaired t-test
757,P0AFP6,-3.928857935395691,0.007722879365772108,27.156058198522874,27.48469226078393,0.12169983517661882,0.07860797487990276,-0.32863406226105596,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,0.7962900511110729,2.1122207489488463,Unpaired t-test
259,P0A7P5,-3.892366002031017,0.008054677799544536,30.690227925788328,33.6357474035184,1.3073379131442047,0.09405333329802737,-2.9455194777300733,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,0.12981063799230502,2.093951827396042,Unpaired t-test
1293,P68066,-3.8757050501030053,0.008211426344676578,31.603819436474215,32.157572919995374,0.18256902329178823,0.16706594626155025,-0.5537534835211595,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,0.6812454132795972,2.085581398322835,Unpaired t-test
1255,P62768,-3.8305794780506623,0.008653315844172949,29.052227277492413,29.62279015545768,0.23130770701694234,0.11425673135113622,-0.5705628779652656,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,0.6733540232057454,2.062817444340197,Unpaired t-test
59,P05637,3.828827617257736,0.008670997012022666,26.67395790479791,25.974879014752716,0.13097927024050857,0.2878438861626492,0.6990788900451932,t-Test,FDR correction BH,0.3687724023348463,False,control,10 µm sulforaphane,1.6234679346705034,2.061930963432051,Unpaired t-test
958,P25397,3.767388053379608,0.009317268400524598,27.68489748033459,26.944355207887313,0.20548141830043323,0.2714637175529086,0.7405422724472785,t-Test,FDR correction BH,0.3849362887759591,False,control,10 µm sulforaphane,1.6708037335594872,2.0307113937041743,Unpaired t-test
1244,P61517,-3.686070697274927,0.01025645701872231,27.739393808060463,28.440044659932774,0.21682864312524738,0.24774451086947907,-0.7006508518723109,t-Test,FDR correction BH,0.4119676902520128,False,control,10 µm sulforaphane,0.6152945624354756,1.9890026356131774,Unpaired t-test
743,P0AFG8,-3.643646514470598,0.010787808601713272,29.579860704605487,29.82514276198988,0.10375482178636829,0.053197483713434454,-0.24528205738439368,t-Test,FDR correction BH,0.42159922265074035,False,control,10 µm sulforaphane,0.8436508401238393,1.9670667674432063,Unpaired t-test
297,P0A862,-3.57389231135942,0.011729045136625624,30.414332331264276,30.757091174553782,0.08299772878824972,0.14389385333702717,-0.3427588432895057,t-Test,FDR correction BH,0.4463210333568593,False,control,10 µm sulforaphane,0.7885319717533981,1.9307373424261647,Unpaired t-test
709,P0AEZ9,-3.4932931198499437,0.012931416518240611,28.446069252247508,28.862479504036813,0.20428919366513137,0.02989705241488409,-0.4164102517893049,t-Test,FDR correction BH,0.4675830610791396,False,control,10 µm sulforaphane,0.7492866997641967,1.888353899531038,Unpaired t-test
1122,P37637,3.493095661330659,0.012934524511179518,28.951915201156375,28.625575916334896,0.13021806213341536,0.0960595559663249,0.3263392848214792,t-Test,FDR correction BH,0.4675830610791396,False,control,10 µm sulforaphane,1.2538278538803975,1.8882495318462804,Unpaired t-test
954,P24232,3.4394575167353008,0.013810120652364203,27.188619723468232,26.265556819401084,0.41829947096894443,0.20273201261044357,0.9230629040671481,t-Test,FDR correction BH,0.46977313413816546,False,control,10 µm sulforaphane,1.896136603379873,1.8598025271833447,Unpaired t-test
125,P09053,-3.4376673063102596,0.013840450185001943,25.824438008595163,26.712203876893927,0.2989208545930038,0.3327464957533851,-0.8877658682987644,t-Test,FDR correction BH,0.46977313413816546,False,control,10 µm sulforaphane,0.5404504023712737,1.858849783457119,Unpaired t-test
139,P09831,-3.430084095567157,0.01396974050341709,26.066431897441557,26.31750450220969,0.0762314153527884,0.10130285479452492,-0.2510726047681331,t-Test,FDR correction BH,0.46977313413816546,False,control,10 µm sulforaphane,0.8402714638436857,1.8548116610999013,Unpaired t-test
1137,P37765,3.3693885502955045,0.015053822495692423,27.569737057434534,27.21057981553113,0.0318576158381739,0.181857240907853,0.3591572419034037,t-Test,FDR correction BH,0.4947233483811646,False,control,10 µm sulforaphane,1.282676396330113,1.822353209172995,Unpaired t-test
1298,P68767,3.3264015652615555,0.015877517251522054,28.552000298438497,27.962889907659036,0.12793867670224554,0.278794580211656,0.5891103907794601,t-Test,FDR correction BH,0.5101975543489087,False,control,10 µm sulforaphane,1.504318853037252,1.7992174067112774,Unpaired t-test
